"","Pooled Intensity","Signed Intensity","Up + Down"
"","b/se","b/se","b/se"
"τ = -4 × intensity",".4106624","",""
"",".5744749","",""
"τ = -3 × intensity","-.1304339","",""
"",".2792796","",""
"τ = -2 × intensity","-.3017209","",""
"",".1938418","",""
"τ = 0 × intensity","-.0091879","",""
"",".2866075","",""
"τ = +1 × intensity","-.8105185**","",""
"",".3977378","",""
"τ = +2 × intensity","-1.651486*","",""
"",".8810417","",""
"τ = +3 × intensity","-3.287864***","",""
"","1.029648","",""
"τ = +4 × intensity","-7.151533***","",""
"","2.541291","",""
"τ = -4 × signed intensity","",".9548916",""
"","",".6415278",""
"τ = -3 × signed intensity","",".6221859",""
"","",".5865826",""
"τ = -2 × signed intensity","",".1279547",""
"","",".3474119",""
"τ = 0 × signed intensity","","-.2028239",""
"","",".2975066",""
"τ = +1 × signed intensity","","-2.282153*",""
"","","1.337554",""
"τ = +2 × signed intensity","","-2.437894",""
"","","1.845109",""
"τ = +3 × signed intensity","","-1.855091",""
"","","1.784588",""
"τ = +4 × signed intensity","","-.1527603",""
"","","2.214525",""
"iup_m4","","","1.247343*"
"","","",".6483663"
"iup_m3","","",".517497"
"","","",".785816"
"iup_m2","","","-.3582825"
"","","",".4169223"
"iup_p0","","",".1292507"
"","","",".4699147"
"iup_p1","","","-1.591574"
"","","","1.187794"
"iup_p2","","","-2.103042"
"","","","1.543465"
"iup_p3","","","-2.229998"
"","","","1.465325"
"iup_p4","","","-1.302789"
"","","","2.326019"
"idown_m4","","","-.6352417"
"","","",".826752"
"idown_m3","","","-.9570374"
"","","",".5973089"
"idown_m2","","","-.8427639***"
"","","",".2945506"
"idown_p0","","",".4847798*"
"","","",".2865861"
"idown_p1","","","3.218305"
"","","","2.233466"
"idown_p2","","","2.845882"
"","","","3.40606"
"idown_p3","","",".865109"
"","","","3.771452"
"idown_p4","","","-3.681646"
"","","","5.410095"
"Observations","228,002","228,002","228,002"
"Within R²","0.0039","0.0017","0.0018"
