"","All LOMRs","SFHA-Crossing Only"
"","b/se","b/se"
"τ = -4 (3+ yrs pre)","-.0083941","-.0062463"
"",".0076494",".0090747"
"τ = -3 (2-3 yrs pre)","-.0003533",".003351"
"",".0047035",".0058839"
"τ = -2 (1-2 yrs pre)","-.0013802","-.0017282"
"",".003032",".0031253"
"τ = 0 (0-1 yr post)","-.0000485",".0024869"
"",".0023069",".003488"
"τ = +1 (1-2 yrs post)","-.0045369","-.0005324"
"",".0039962",".0049762"
"τ = +2 (2-3 yrs post)","-.0092599","-.0029512"
"",".0059857",".0073201"
"τ = +3 (3-4 yrs post)","-.0138745*","-.0050434"
"",".0071397",".009258"
"τ = +4 (4+ yrs post)","-.0287047**","-.0192158"
"",".0112955",".012358"
"Observations","228,002","215,580"
"Within R²","0.0029","0.0020"
