tau,coef,se,ci_lo,ci_hi
pre,.0056607758902339,.0019482133638625,.0018422776970634,.0094792740834044
post,.0058984315841344,.0068973917627051,-.0076204562707676,.0194173194390364
-3,.0057212413562712,.0026060736631512,.0006133369764948,.0108291457360476
-2,.004868471327034,.0022591990813091,.0004404411276682,.0092965015263998
-1,.0063926149873965,.0023368450547482,.00181239868009,.010972831294703
0,.0070929286753283,.0025657368510363,.0020640844472972,.0121217729033594
1,.0045044561162764,.0045048838552685,-.0043251162400499,.0133340284726027
2,.0083510230367911,.0062571527653794,-.0039129963833525,.0206150424569347
3,.01258581748953,.0085367445060859,-.0041462017423984,.0293178367214584
4,.0031187536826558,.0109790288836585,-.0184001429293149,.0246376502946265
5,-.0002623894957751,.0137828923722543,-.0272768585453935,.0267520795538433
