"","No Controls","Main Controls","Full Controls"
"","b/se","b/se","b/se"
"τ = -4 (3+ yrs pre)","-.0092561","-.0092863","-.0092639"
"",".0086042",".0086089",".0086077"
"τ = -3 (2-3 yrs pre)",".0023946",".0022596",".0023059"
"",".0054969",".0054777",".0054788"
"τ = -2 (1-2 yrs pre)","-.0005935","-.0007081","-.0006592"
"",".0036079",".003593",".0035814"
"τ = 0 (0-1 yr post)","-.0015658","-.0016767","-.0016668"
"",".0027301",".0027389",".0027385"
"τ = +1 (1-2 yrs post)","-.0074732","-.00771","-.0077626"
"",".0048235",".004856",".0048569"
"τ = +2 (2-3 yrs post)","-.0121932*","-.0123686*","-.0123379*"
"",".0069935",".0070179",".0070255"
"τ = +3 (3-4 yrs post)","-.0168277**","-.0168179**","-.0168066**"
"",".0080885",".0080535",".0080557"
"τ = +4 (4+ yrs post)","-.0304007**","-.0305878**","-.0305407**"
"",".0130816",".0130779",".0130865"
"Observations","127,790","127,790","127,790"
"Within R²","0.0017","0.0030","0.0031"
