"","Policies (Up)","Policies (Down)","Claims (Up)","Claims (Down)"
"","b/se","b/se","b/se","b/se"
"up_m4",".0145939","","-.0492725",""
"",".0442286","",".0324886",""
"up_m3",".0198702","","-.0799634",""
"",".0442588","",".054314",""
"up_m2","-.0023775","","-.012774",""
"",".0322537","",".0362304",""
"up_p0","-.0119673","","-.0534368",""
"",".0149688","",".0371549",""
"up_p1","-.0068175","","-.045875",""
"",".0169286","",".0407523",""
"up_p2","-.0028791","","-.0806893",""
"",".0266831","",".0513022",""
"up_p3",".0035341","","-.0363275",""
"",".0346237","",".0494466",""
"up_p4","-.0061038","","-.0602421",""
"",".0405241","",".0458671",""
"down_m4","","-.0338481","",".0044634"
"","",".0380153","",".0210922"
"down_m3","","-.0566747","",".0482796**"
"","",".0361202","",".0239509"
"down_m2","","-.0165455","",".0467545"
"","",".0296231","",".0293538"
"down_p0","","-.0266533","",".1020327**"
"","",".0379032","",".0439834"
"down_p1","","-.0627422*","",".0394455"
"","",".0364752","",".0357633"
"down_p2","","-.0917758*","",".037325"
"","",".050706","",".0282491"
"down_p3","","-.0419215","",".0195624"
"","",".0488207","",".0264099"
"down_p4","","-.0811367","",".0181718"
"","",".0781517","",".0200413"
"Observations","115,235","114,187","115,235","114,187"
"Within R²","0.0024","0.0027","0.0002","0.0002"
