excluded_state,coef_p4,se_p4,ci_lo_p4,ci_hi_p4,n_obs
1,-.030621983,.013077397,-.056253683,-.0049902862,127118
6,-.029917033,.019531667,-.068199098,.0083650323,99243
9,-.032944426,.012986718,-.058398392,-.0074904612,125450
10,-.030596666,.01308621,-.05624564,-.0049476954,127006
11,-.02993766,.013330322,-.05606509,-.003810229,126851
12,-.016325142,.011001674,-.037888423,.0052381381,108326
13,-.030524507,.013089817,-.056180548,-.0048684659,127398
22,-.030485267,.013055447,-.056073941,-.004896591,125809
23,-.030588033,.013078393,-.056221686,-.0049543814,127454
24,-.030759739,.01328377,-.056795929,-.0047235503,122350
25,-.033758264,.013266263,-.059760138,-.0077563892,121870
28,-.030587938,.013078458,-.056221716,-.0049541621,127596
33,-.0305879,.013078443,-.056221649,-.0049541523,127622
34,-.029286245,.013415116,-.055579871,-.0029926179,111724
36,-.034918133,.014182518,-.062715866,-.007120396,108075
37,-.030587912,.013078855,-.056222469,-.0049533541,127398
41,-.030587938,.013078445,-.05622169,-.0049541863,127678
42,-.032051127,.013496456,-.058504179,-.0055980724,123334
44,-.030383732,.01325859,-.056370568,-.0043968949,125998
45,-.030999748,.013089302,-.056654777,-.0053447159,127118
48,-.03434319,.013635291,-.06106836,-.0076180189,121378
51,-.032065786,.014305011,-.06010361,-.0040279645,122842
53,-.030301258,.013072084,-.055922542,-.0046799737,121742
